行號,章節,寫法,原文,分子,分母,取自,問卷題目,分母是誰,信賴度
328,第 7.2 節,裸數字（其他量詞）,2 個,,,計數或題目設計說明,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,全體，最多選 2,
328,第 7.2 節,裸數字（百分比）,69%,,,比例（分母寫在同段落的其他數字裡）,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,全體，最多選 2,
328,第 7.2 節,裸數字（百分比）,36%,,,比例（分母寫在同段落的其他數字裡）,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,全體，最多選 2,
328,第 7.2 節,裸數字（百分比）,62%,,,比例（分母寫在同段落的其他數字裡）,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,全體，最多選 2,
328,第 7.2 節,裸數字（百分比）,46%,,,比例（分母寫在同段落的其他數字裡）,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,全體，最多選 2,
365,第 8.1 節,裸數字（人數）,26 人,26,,樣本數陳述,「為什麼還沒參與」只問這一層,從未接觸層 26 人,
365,第 8.1 節,裸數字（人數）,26 人,26,,樣本數陳述,「為什麼還沒參與」只問這一層,從未接觸層 26 人,
371,第 8.2 節,裸數字（其他量詞）,16 個,,,計數或題目設計說明,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域 × 下面這些「跨領域都用得到的工具」，你最想看哪些介紹？請選最多 3 個工具,題目設計說明：領域題 16 選 5、工具題 7 選 3，兩題選項數不同故勾選率不可互比,
371,第 8.2 節,裸數字（其他量詞）,5 個,,,計數或題目設計說明,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域 × 下面這些「跨領域都用得到的工具」，你最想看哪些介紹？請選最多 3 個工具,題目設計說明：領域題 16 選 5、工具題 7 選 3，兩題選項數不同故勾選率不可互比,
371,第 8.2 節,裸數字（其他量詞）,7 個,,,計數或題目設計說明,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域 × 下面這些「跨領域都用得到的工具」，你最想看哪些介紹？請選最多 3 個工具,題目設計說明：領域題 16 選 5、工具題 7 選 3，兩題選項數不同故勾選率不可互比,
371,第 8.2 節,裸數字（其他量詞）,3 個,,,計數或題目設計說明,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域 × 下面這些「跨領域都用得到的工具」，你最想看哪些介紹？請選最多 3 個工具,題目設計說明：領域題 16 選 5、工具題 7 選 3，兩題選項數不同故勾選率不可互比,
373,第 8.2 節,寫明分母,61%（77/126）,77,126,群眾協力與通報工具（讓沒有技術背景的人，也能簡單回報、標記，一起累積資料）,下面這些「跨領域都用得到的工具」，你最想看哪些介紹？請選最多 3 個工具,全體，最多選 3,L2
373,第 8.2 節,寫明分母,54%（68/126）,68,126,AI 應用（用 AI 整理、查證資料等）,下面這些「跨領域都用得到的工具」，你最想看哪些介紹？請選最多 3 個工具,全體，最多選 3,L2
373,第 8.2 節,寫明分母,52%（65/126）,65,126,資料視覺化工具,下面這些「跨領域都用得到的工具」，你最想看哪些介紹？請選最多 3 個工具,全體，最多選 3,L2
373,第 8.2 節,寫明分母,42%（53/126）,53,126,地理資訊與地圖工具（GIS、線上地圖）,下面這些「跨領域都用得到的工具」，你最想看哪些介紹？請選最多 3 個工具,全體，最多選 3,L2
373,第 8.2 節,寫明分母,33%（41/126）,41,126,民意蒐集與線上審議工具（例如問卷、Polis、討論平台）,下面這些「跨領域都用得到的工具」，你最想看哪些介紹？請選最多 3 個工具,全體，最多選 3,L2
373,第 8.2 節,寫明分母,31%（39/126）,39,126,怎麼找到現成的研究成果（學術論文、政府委辦研究、考察報告）,下面這些「跨領域都用得到的工具」，你最想看哪些介紹？請選最多 3 個工具,全體，最多選 3,L2
373,第 8.2 節,寫明分母,19%（24/126）,24,126,開放協作知識庫（維基百科、Wikidata 等共筆知識）,下面這些「跨領域都用得到的工具」，你最想看哪些介紹？請選最多 3 個工具,全體，最多選 3,L2
375,第 8.2 節,寫明分母,54%（68/127）,68,127,政府預算、決算與標案（看政府的錢怎麼花）,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域,全體，最多選 5,L2
375,第 8.2 節,寫明分母,47%（60/127）,60,127,地方發展與地方創生,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域,全體，最多選 5,L2
375,第 8.2 節,寫明分母,43%（54/127）,54,127,防災與災害應變,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域,全體，最多選 5,L2
375,第 8.2 節,寫明分母,42%（53/127）,53,127,假訊息與詐騙防治,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域,全體，最多選 5,L2
375,第 8.2 節,寫明分母,31%（39/127）,39,127,環境汙染與公害,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域,全體，最多選 5,L2
375,第 8.2 節,寫明分母,31%（39/127）,39,127,法律、立法歷程,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域,全體，最多選 5,L2
391,第 8.3 節,寫明分母,62%（16/26）,16,26,不知道有哪些專案或議題,你聽過或看過公民科技，但還沒真正參與，最主要的原因是什麼？（請最多選 3 個原因）,從未接觸層 N=26，最多選 3（此題未問「接觸未參與」層）,L1（僅供參考）
391,第 8.3 節,寫明分母,50%（13/26）,13,26,不知道怎麼加入、找不到入口,你聽過或看過公民科技，但還沒真正參與，最主要的原因是什麼？（請最多選 3 個原因）,從未接觸層 N=26，最多選 3（此題未問「接觸未參與」層）,L1（僅供參考）
392,第 8.3 節,寫明分母,54%（14/26）,14,26,身邊沒有人帶，怕自己融不進去、或幫不上忙,你聽過或看過公民科技，但還沒真正參與，最主要的原因是什麼？（請最多選 3 個原因）,從未接觸層 N=26，最多選 3（此題未問「接觸未參與」層）,L1（僅供參考）
394,第 8.3 節,裸數字（百分比）,61%,,,比例（分母寫在同段落的其他數字裡）,下面這些「跨領域都用得到的工具」，你最想看哪些介紹？請選最多 3 個工具,該題有作答的 126 人（不是同一列前半引用的未參與原因 N=26）,
394,第 8.3 節,裸數字（百分比）,54%,,,比例（分母寫在同段落的其他數字裡）,下面這些「跨領域都用得到的工具」，你最想看哪些介紹？請選最多 3 個工具,該題有作答的 126 人（不是同一列前半引用的未參與原因 N=26）,
395,第 8.3 節,寫明分母,38%（18/47）,18,47,專案難有穩定進度，容易停滯,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥3,L2
395,第 8.3 節,寫明分母,36%（17/47）,17,47,做出來的成果（工具、服務）很難真正發揮影響力,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥3,L2
395,第 8.3 節,寫明分母,32%（15/47）,15,47,核心成員累垮，常常一個人撐住整個專案,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥3,L2
415,第 8.4 節,裸數字（人數）,10 個人,10,,計數（分母寫在同段落的其他數字裡）,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=發起專案 N=10,
415,第 8.4 節,裸數字（其他量詞）,6 個,,,計數或題目設計說明,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=發起專案 N=10,
417,第 8.4 節,寫明分母,59%（16/27）,16,27,它要解決的問題夠重要、而且講得夠清楚,你在決定要不要支持一個專案時，最看重哪些？請最多選 3 個因素,曾出資者 N=27,L1（僅供參考）
428,第 9 章,裸數字（人數）,46 人,46,,計數（分母寫在同段落的其他數字裡）,你曾經在公民科技專案裡，擔任過哪些角色？ × 下面哪一句，最貼近你在公民科技圈子做的事？,曾接觸者 N=101 中角色廣度＝1 的 46 人,
428,第 9 章,裸數字（人數）,42 人,42,,計數（分母寫在同段落的其他數字裡）,你曾經在公民科技專案裡，擔任過哪些角色？ × 下面哪一句，最貼近你在公民科技圈子做的事？,曾接觸者 N=101 中角色廣度＝1 的 46 人,
428,第 9 章,裸數字（人數）,30 人,30,,計數（分母寫在同段落的其他數字裡）,你曾經在公民科技專案裡，擔任過哪些角色？ × 下面哪一句，最貼近你在公民科技圈子做的事？,曾接觸者 N=101 中角色廣度＝1 的 46 人,
429,第 9 章,裸數字（人數）,18 人,18,,計數（分母寫在同段落的其他數字裡）,下面這些困難，各自對你造成多大的困擾？[…],曾參與者依參與深度分成五組，各組 5–18 人,
430,第 9 章,裸數字（人數）,27 位,27,,樣本數陳述,「你曾經為公民科技專案提供經費方面的支持嗎」答有的人,曾出資者 27 人,
430,第 9 章,裸數字（人數）,27 人,27,,樣本數陳述,「你曾經為公民科技專案提供經費方面的支持嗎」答有的人,曾出資者 27 人,
430,第 9 章,裸數字（人數）,26 人,26,,樣本數陳述,「為什麼還沒參與」只問這一層,從未接觸層 26 人,
436,第 9 章,裸數字（人數）,26 人,26,,樣本數陳述,「為什麼還沒參與」只問這一層,從未接觸層 26 人,
444,第 10 章,裸數字（人數）,127 位,127,,樣本數陳述,有效回收份數,全體填答者 127 人,
447,第 10 章,裸數字（人數）,54 人,54,,樣本數陳述,入坑分層之一,接觸過但還沒做過專案的 54 人,
447,第 10 章,裸數字（人數）,26 人,26,,樣本數陳述,「為什麼還沒參與」只問這一層,從未接觸層 26 人,
447,第 10 章,裸數字（人數）,54 人,54,,樣本數陳述,入坑分層之一,接觸過但還沒做過專案的 54 人,
449,第 10 章,裸數字（人數）,73 人,73,,計數（分母寫在同段落的其他數字裡）,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,全體 N=127；題目最多選 2，比例反映的是有限名額裡誰被優先挑中,
449,第 10 章,裸數字（人數）,73 人,73,,計數（分母寫在同段落的其他數字裡）,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,全體 N=127；題目最多選 2，比例反映的是有限名額裡誰被優先挑中,
449,第 10 章,裸數字（其他量詞）,2 個,,,計數或題目設計說明,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,全體 N=127；題目最多選 2，比例反映的是有限名額裡誰被優先挑中,
450,第 10 章,裸數字（人數）,26 位,26,,樣本數陳述,「為什麼還沒參與」只問這一層,從未接觸層 26 人,
450,第 10 章,裸數字（人數）,27 位,27,,樣本數陳述,「你曾經為公民科技專案提供經費方面的支持嗎」答有的人,曾出資者 27 人,
450,第 10 章,裸數字（人數）,19 位,19,,計數（分母寫在同段落的其他數字裡）,（跨多題的樣本數提醒）,從未接觸層 26／曾出資者 27／曾參與者依年齡收合三層 10、19、18,
451,第 10 章,裸數字（百分比）,5.6%,,,比例（分母寫在同段落的其他數字裡）,如果有下面這些文章可以參考，你的感覺是？ × 如果沒有下面這些文章可以參考，你的感覺是？,全體有作答者；矛盾答案占該題有作答人數的 5.6%–7.1%,
451,第 10 章,裸數字（百分比）,7.1%,,,比例（分母寫在同段落的其他數字裡）,如果有下面這些文章可以參考，你的感覺是？ × 如果沒有下面這些文章可以參考，你的感覺是？,全體有作答者；矛盾答案占該題有作答人數的 5.6%–7.1%,
459,第 11 章,裸數字（人數）,27 位,27,,樣本數陳述,「你曾經為公民科技專案提供經費方面的支持嗎」答有的人,曾出資者 27 人,
459,第 11 章,裸數字（人數）,26 位,26,,樣本數陳述,「為什麼還沒參與」只問這一層,從未接觸層 26 人,
461,第 11 章,裸數字（人數）,47 人,47,,樣本數陳述,專案階段、資源、專長、困擾、動機等題只問做過專案的人,曾參與者 47 人,
465,第 11 章,裸數字（人數）,26 位,26,,樣本數陳述,「為什麼還沒參與」只問這一層,從未接觸層 26 人,
465,第 11 章,裸數字（人數）,54 人,54,,樣本數陳述,入坑分層之一,接觸過但還沒做過專案的 54 人,
465,第 11 章,裸數字（人數）,8 人,8,,計數（分母寫在同段落的其他數字裡）,你聽過或看過公民科技，但還沒真正參與，最主要的原因是什麼？ × 入坑分層,從未接觸層 26／接觸未參與層 54；「5 到 8 人」是後續訪談建議，不是本次資料,
489,附錄,裸數字（人數）,101 位,101,,樣本數陳述,角色、參與深度等題只問接觸過公民科技的人,曾接觸者 101 人,
489,附錄,裸數字（人數）,48 人,48,,計數（分母寫在同段落的其他數字裡）,你曾經在公民科技專案裡，擔任過哪些角色？,同一個角色有兩個分母：曾接觸者 101 與曾參與者 47（見附錄 A2）,
489,附錄,裸數字（人數）,47 人,47,,樣本數陳述,專案階段、資源、專長、困擾、動機等題只問做過專案的人,曾參與者 47 人,
489,附錄,裸數字（人數）,36 人,36,,計數（分母寫在同段落的其他數字裡）,你曾經在公民科技專案裡，擔任過哪些角色？,同一個角色有兩個分母：曾接觸者 101 與曾參與者 47（見附錄 A2）,
489,附錄,裸數字（人數）,36 人,36,,計數（分母寫在同段落的其他數字裡）,你曾經在公民科技專案裡，擔任過哪些角色？,同一個角色有兩個分母：曾接觸者 101 與曾參與者 47（見附錄 A2）,
489,附錄,裸數字（人數）,47 人,47,,樣本數陳述,專案階段、資源、專長、困擾、動機等題只問做過專案的人,曾參與者 47 人,
490,附錄,裸數字（人數）,47 位,47,,樣本數陳述,專案階段、資源、專長、困擾、動機等題只問做過專案的人,曾參與者 47 人,
490,附錄,裸數字（人數）,17 人,17,,計數（分母寫在同段落的其他數字裡）,這個專案目前進行到哪個階段？,曾參與者 N=47,
492,附錄,裸數字（人數）,101 人,101,,樣本數陳述,角色、參與深度等題只問接觸過公民科技的人,曾接觸者 101 人,
492,附錄,裸數字（人數）,47 人,47,,樣本數陳述,專案階段、資源、專長、困擾、動機等題只問做過專案的人,曾參與者 47 人,
496,附錄,裸數字（人數）,1 人,1,,計數（分母寫在同段落的其他數字裡）,（分母慣例說明，不是某一題的統計）,說明本報告用「該題有作答人數」、另一份報告用「總回收份數」的差異,
496,附錄,裸數字（其他量詞）,8 個,,,計數或題目設計說明,（分母慣例說明，不是某一題的統計）,說明本報告用「該題有作答人數」、另一份報告用「總回收份數」的差異,
504,附錄,裸數字（人數）,27 人,27,,樣本數陳述,「你曾經為公民科技專案提供經費方面的支持嗎」答有的人,曾出資者 27 人,
505,附錄,裸數字（人數）,17 人,17,,計數（分母寫在同段落的其他數字裡）,你曾經在公民科技專案裡，擔任過哪些角色？,曾接觸者 N=101,
506,附錄,裸數字（人數）,16 人,16,,計數（分母寫在同段落的其他數字裡）,你曾經在公民科技專案裡，擔任過哪些角色？,曾參與者 N=47,
508,附錄,裸數字（人數）,12 人,12,,計數（分母寫在同段落的其他數字裡）,你曾經為公民科技專案提供經費方面的支持嗎？ × 你曾經在公民科技專案裡，擔任過哪些角色？,曾出資者 27 與角色題 101 的交叉；重疊 12 人（見附錄 A4）,
508,附錄,裸數字（人數）,15 人,15,,計數（分母寫在同段落的其他數字裡）,你曾經為公民科技專案提供經費方面的支持嗎？ × 你曾經在公民科技專案裡，擔任過哪些角色？,曾出資者 27 與角色題 101 的交叉；重疊 12 人（見附錄 A4）,
508,附錄,裸數字（人數）,1 人,1,,計數（分母寫在同段落的其他數字裡）,你曾經為公民科技專案提供經費方面的支持嗎？ × 你曾經在公民科技專案裡，擔任過哪些角色？,曾出資者 27 與角色題 101 的交叉；重疊 12 人（見附錄 A4）,
508,附錄,裸數字（人數）,101 人,101,,樣本數陳述,角色、參與深度等題只問接觸過公民科技的人,曾接觸者 101 人,
508,附錄,裸數字（人數）,5 人,5,,計數（分母寫在同段落的其他數字裡）,你曾經為公民科技專案提供經費方面的支持嗎？ × 你曾經在公民科技專案裡，擔任過哪些角色？,曾出資者 27 與角色題 101 的交叉；重疊 12 人（見附錄 A4）,
510,附錄,裸數字（人數）,27 人,27,,樣本數陳述,「你曾經為公民科技專案提供經費方面的支持嗎」答有的人,曾出資者 27 人,
514,附錄,裸數字（其他量詞）,47 筆,,,計數或題目設計說明,你最近參與的那個公民科技專案，是為了解決什麼問題？,曾參與者 N=47 全數填答；47 筆專案描述只以彙總形式出現,
523,怎麼驗收這份報告,裸數字（其他量詞）,5 個,,,計數或題目設計說明,（驗收方法建議，不是統計數字）,無分母,
526,怎麼驗收這份報告,裸數字（人數）,3 位,3,,計數（分母寫在同段落的其他數字裡）,（驗收方法建議，不是統計數字）,無分母,
