報告位置（整合版）,報告位置（v1 舊報告）,項目,數字,分子,分母,驗算式,來源欄位／表,篩選條件,信賴度
第 7 章,§9.4 活動意願×三層,接觸未參與／公民科技實戰心法：從真實案例復盤，學前人怎麼把專案做起來,51.9%,28,54,28/54,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,入坑分層=接觸未參與,L3
第 7 章,§9.4 活動意願×三層,接觸未參與／公民科技資料庫入門：學會用網站和 AI 問答，快速查專案、看懂專案怎麼組成,50.0%,27,54,27/54,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,入坑分層=接觸未參與,L3
第 7 章,§9.4 活動意願×三層,接觸未參與／用 AI 幫你提案：從零開始，動手把點子變成專案構想和藍圖,29.6%,16,54,16/54,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,入坑分層=接觸未參與,L3
第 7 章,§9.4 活動意願×三層,接觸未參與／目前都沒有特別想參加,0.0%,0,54,0/54,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,入坑分層=接觸未參與,L3
第 7 章,§9.4 活動意願×三層,接觸未參與／其他（自由填答）,0.0%,0,54,0/54,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,入坑分層=接觸未參與,L3
第 7 章,§9.4 活動意願×三層,曾參與／公私協力怎麼談：一起討論公部門和民間合作的方法，以及常卡在哪,61.7%,29,47,29/47,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,入坑分層=曾參與,L2
第 7 章,§9.4 活動意願×三層,曾參與／公民科技實戰心法：從真實案例復盤，學前人怎麼把專案做起來,48.9%,23,47,23/47,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,入坑分層=曾參與,L2
第 7 章,§9.4 活動意願×三層,曾參與／公民科技資料庫入門：學會用網站和 AI 問答，快速查專案、看懂專案怎麼組成,36.2%,17,47,17/47,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,入坑分層=曾參與,L2
第 7 章,§9.4 活動意願×三層,曾參與／用 AI 幫你提案：從零開始，動手把點子變成專案構想和藍圖,36.2%,17,47,17/47,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,入坑分層=曾參與,L2
第 7 章,§9.4 活動意願×三層,曾參與／目前都沒有特別想參加,4.3%,2,47,2/47,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,入坑分層=曾參與,L2
第 7 章,§9.4 活動意願×三層,曾參與／其他（自由填答）,2.1%,1,47,1/47,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,入坑分層=曾參與,L2
第 1 章,§1.2 所屬組織,非營利組織與協會,27.3%,15,55,15/55,可以多分享一點你所屬的組織或團體嗎？,全體中有填答此開放題者（人工歸類）,L3
第 1 章,§1.2 所屬組織,學術與研究機構,25.5%,14,55,14/55,可以多分享一點你所屬的組織或團體嗎？,全體中有填答此開放題者（人工歸類）,L3
第 1 章,§1.2 所屬組織,企業與新創,21.8%,12,55,12/55,可以多分享一點你所屬的組織或團體嗎？,全體中有填答此開放題者（人工歸類）,L3
第 1 章,§1.2 所屬組織,社群、工作室或個人,14.5%,8,55,8/55,可以多分享一點你所屬的組織或團體嗎？,全體中有填答此開放題者（人工歸類）,L3
第 1 章,§1.2 所屬組織,公部門,3.6%,2,55,2/55,可以多分享一點你所屬的組織或團體嗎？,全體中有填答此開放題者（人工歸類）,L3
第 1 章,§1.2 所屬組織,媒體與事實查核,3.6%,2,55,2/55,可以多分享一點你所屬的組織或團體嗎？,全體中有填答此開放題者（人工歸類）,L3
第 1 章,§1.2 所屬組織,法人與中介組織,1.8%,1,55,1/55,可以多分享一點你所屬的組織或團體嗎？,全體中有填答此開放題者（人工歸類）,L3
第 1 章,§1.2 所屬組織,未具體說明,1.8%,1,55,1/55,可以多分享一點你所屬的組織或團體嗎？,全體中有填答此開放題者（人工歸類）,L3
第 1 章,§1.3 g0v 參加經驗,全體／從未參加過任何 g0v 活動,47.2%,60,127,60/127,你最近一次參加 g0v.tw 的活動，是什麼時候？,全體；全數作答，無分支,L2
第 1 章,§1.3 g0v 參加經驗,曾參與／從未參加過任何 g0v 活動,27.7%,13,47,13/47,你最近一次參加 g0v.tw 的活動，是什麼時候？,曾參與；全數作答，無分支,L2
第 1 章,§1.3 g0v 參加經驗,全體／最近一次參加：超過 1 年以前,20.5%,26,127,26/127,你最近一次參加 g0v.tw 的活動，是什麼時候？,全體；全數作答，無分支,L2
第 1 章,§1.3 g0v 參加經驗,全體／最近一次參加：最近一個月內,12.6%,16,127,16/127,你最近一次參加 g0v.tw 的活動，是什麼時候？,全體；全數作答，無分支,L2
第 1 章,§1.3 g0v 參加經驗,全體／最近一次參加：1 到 6 個月前,12.6%,16,127,16/127,你最近一次參加 g0v.tw 的活動，是什麼時候？,全體；全數作答，無分支,L2
第 1 章,§1.3 g0v 參加經驗,全體／最近一次參加：7 到 12 個月前,7.1%,9,127,9/127,你最近一次參加 g0v.tw 的活動，是什麼時候？,全體；全數作答，無分支,L2
第 1 章,§1.2 地區連結,中南部或東部,54.0%,34,63,34/63,除了居住地，你還跟哪些地區有比較深的連結？,全體中有填答此開放題者（人工編碼，見 分析程式/開放題編碼.csv）,L3
第 1 章,§1.2 地區連結,其他（北部或未指涉地區）,27.0%,17,63,17/63,除了居住地，你還跟哪些地區有比較深的連結？,全體中有填答此開放題者（人工編碼，見 分析程式/開放題編碼.csv）,L3
第 1 章,§1.2 地區連結,海外,22.2%,14,63,14/63,除了居住地，你還跟哪些地區有比較深的連結？,全體中有填答此開放題者（人工編碼，見 分析程式/開放題編碼.csv）,L3
第 1 章,§1.2 地區連結,住雙北且有「中南部或東部」連結,25.3%,20,79,20/79,除了居住地，你還跟哪些地區有比較深的連結？ × 你目前居住在哪個區域？,分母是住雙北的 79 人，不是填答此題的 63 人,L3
第 1 章,§1.2 地區連結,住雙北且有「海外」連結,10.1%,8,79,8/79,除了居住地，你還跟哪些地區有比較深的連結？ × 你目前居住在哪個區域？,分母是住雙北的 79 人，不是填答此題的 63 人,L3
第 1 章,§1.2 居住地（雙北合計）,雙北（台北市或新北市）,62.2%,79,127,79/127,你目前居住在哪個區域？,全體 N=127；people_count 去重，非票數相加,L2
第 2 章,§3 角色勾選,使用過某個公民科技工具、服務，或參與討論的人,89.1%,90,101,90/101,你曾經在公民科技專案裡，擔任過哪些角色？,曾接觸者 N=101，複選,L3
第 2 章,§3 角色勾選,協助落地應用，或推廣給更多使用者的人,47.5%,48,101,48/101,你曾經在公民科技專案裡，擔任過哪些角色？,曾接觸者 N=101，複選,L3
第 2 章,§3 角色勾選,參與籌備、開發、設計或維護的人,32.7%,33,101,33/101,你曾經在公民科技專案裡，擔任過哪些角色？,曾接觸者 N=101，複選,L3
第 2 章,§3 角色勾選,發起專案的人,27.7%,28,101,28/101,你曾經在公民科技專案裡，擔任過哪些角色？,曾接觸者 N=101，複選,L3
第 2 章,§3 角色勾選,出錢或調度資源的人,16.8%,17,101,17/101,你曾經在公民科技專案裡，擔任過哪些角色？,曾接觸者 N=101，複選,L3
第 2 章,§3 角色勾選,其他（自由填答）,2.0%,2,101,2/101,你曾經在公民科技專案裡，擔任過哪些角色？,曾接觸者 N=101，複選,L3
第 2 章,§3 動手做但沒用過,勾了「開發維護」或「發起專案」（去重）,37.6%,38,101,38/101,你曾經在公民科技專案裡，擔任過哪些角色？,曾接觸者 N=101，複選；勾兩個角色的人只算一次,L3
第 2 章,§3 動手做但沒用過,上列的人當中，沒有勾「使用過某個工具或參與過討論」,18.4%,7,38,7/38,你曾經在公民科技專案裡，擔任過哪些角色？,曾接觸者 N=101，複選；勾兩個角色的人只算一次,L2
第 3 章,§4.2 困擾×參與深度5級,發起專案／抓不準專案到底要解決什麼問題（%≥3）,10.0%,1,10,1/10,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=發起專案,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,發起專案／找不到願意一起做的夥伴（%≥3）,20.0%,2,10,2/10,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=發起專案,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,發起專案／新手或不會寫程式的人，不知道能幫什麼（%≥3）,10.0%,1,10,1/10,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=發起專案,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,發起專案／參與者突然消失，留下大量未完成任務（%≥3）,30.0%,3,10,3/10,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=發起專案,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,發起專案／專案缺少文件或交接，人一走、知識就斷了（%≥3）,20.0%,2,10,2/10,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=發起專案,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,發起專案／核心成員累垮，常常一個人撐住整個專案（%≥3）,60.0%,6,10,6/10,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=發起專案,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,發起專案／專案難有穩定進度，容易停滯（%≥3）,40.0%,4,10,4/10,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=發起專案,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,發起專案／拿到經費或補助後，不知道怎麼管帳、報稅或處理聘僱（%≥3）,10.0%,1,10,1/10,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=發起專案,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,發起專案／專案要改變方向、或要對外代表時，不確定誰有權責拍板（%≥3）,30.0%,3,10,3/10,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=發起專案,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,發起專案／找不到對接的政府窗口、發訊息沒人理（%≥3）,20.0%,2,10,2/10,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=發起專案,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,發起專案／公務員不信任你、不願給你需要的資訊（%≥3）,30.0%,3,10,3/10,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=發起專案,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,發起專案／想要的資料拿不到、不知道去哪要（%≥3）,30.0%,3,10,3/10,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=發起專案,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,發起專案／做出來的成果（工具、服務）很難真正發揮影響力（%≥3）,50.0%,5,10,5/10,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=發起專案,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,協力參與／抓不準專案到底要解決什麼問題（%≥3）,12.5%,1,8,1/8,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=協力參與,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,協力參與／找不到願意一起做的夥伴（%≥3）,25.0%,2,8,2/8,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=協力參與,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,協力參與／新手或不會寫程式的人，不知道能幫什麼（%≥3）,12.5%,1,8,1/8,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=協力參與,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,協力參與／參與者突然消失，留下大量未完成任務（%≥3）,0.0%,0,8,0/8,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=協力參與,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,協力參與／專案缺少文件或交接，人一走、知識就斷了（%≥3）,12.5%,1,8,1/8,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=協力參與,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,協力參與／核心成員累垮，常常一個人撐住整個專案（%≥3）,12.5%,1,8,1/8,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=協力參與,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,協力參與／專案難有穩定進度，容易停滯（%≥3）,25.0%,2,8,2/8,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=協力參與,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,協力參與／拿到經費或補助後，不知道怎麼管帳、報稅或處理聘僱（%≥3）,12.5%,1,8,1/8,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=協力參與,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,協力參與／專案要改變方向、或要對外代表時，不確定誰有權責拍板（%≥3）,25.0%,2,8,2/8,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=協力參與,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,協力參與／找不到對接的政府窗口、發訊息沒人理（%≥3）,12.5%,1,8,1/8,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=協力參與,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,協力參與／公務員不信任你、不願給你需要的資訊（%≥3）,25.0%,2,8,2/8,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=協力參與,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,協力參與／想要的資料拿不到、不知道去哪要（%≥3）,25.0%,2,8,2/8,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=協力參與,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,協力參與／做出來的成果（工具、服務）很難真正發揮影響力（%≥3）,12.5%,1,8,1/8,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=協力參與,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,共創解法／抓不準專案到底要解決什麼問題（%≥3）,11.1%,2,18,2/18,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=共創解法,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,共創解法／找不到願意一起做的夥伴（%≥3）,22.2%,4,18,4/18,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=共創解法,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,共創解法／新手或不會寫程式的人，不知道能幫什麼（%≥3）,0.0%,0,18,0/18,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=共創解法,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,共創解法／參與者突然消失，留下大量未完成任務（%≥3）,11.1%,2,18,2/18,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=共創解法,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,共創解法／專案缺少文件或交接，人一走、知識就斷了（%≥3）,5.6%,1,18,1/18,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=共創解法,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,共創解法／核心成員累垮，常常一個人撐住整個專案（%≥3）,33.3%,6,18,6/18,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=共創解法,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,共創解法／專案難有穩定進度，容易停滯（%≥3）,44.4%,8,18,8/18,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=共創解法,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,共創解法／拿到經費或補助後，不知道怎麼管帳、報稅或處理聘僱（%≥3）,5.6%,1,18,1/18,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=共創解法,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,共創解法／專案要改變方向、或要對外代表時，不確定誰有權責拍板（%≥3）,11.1%,2,18,2/18,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=共創解法,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,共創解法／找不到對接的政府窗口、發訊息沒人理（%≥3）,11.1%,2,18,2/18,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=共創解法,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,共創解法／公務員不信任你、不願給你需要的資訊（%≥3）,11.1%,2,18,2/18,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=共創解法,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,共創解法／想要的資料拿不到、不知道去哪要（%≥3）,5.6%,1,18,1/18,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=共創解法,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,共創解法／做出來的成果（工具、服務）很難真正發揮影響力（%≥3）,44.4%,8,18,8/18,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=共創解法,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,接收資訊／抓不準專案到底要解決什麼問題（%≥3）,20.0%,1,5,1/5,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=接收資訊,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,接收資訊／找不到願意一起做的夥伴（%≥3）,40.0%,2,5,2/5,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=接收資訊,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,接收資訊／新手或不會寫程式的人，不知道能幫什麼（%≥3）,20.0%,1,5,1/5,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=接收資訊,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,接收資訊／參與者突然消失，留下大量未完成任務（%≥3）,20.0%,1,5,1/5,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=接收資訊,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,接收資訊／專案缺少文件或交接，人一走、知識就斷了（%≥3）,40.0%,2,5,2/5,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=接收資訊,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,接收資訊／核心成員累垮，常常一個人撐住整個專案（%≥3）,40.0%,2,5,2/5,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=接收資訊,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,接收資訊／專案難有穩定進度，容易停滯（%≥3）,40.0%,2,5,2/5,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=接收資訊,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,接收資訊／拿到經費或補助後，不知道怎麼管帳、報稅或處理聘僱（%≥3）,0.0%,0,5,0/5,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=接收資訊,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,接收資訊／專案要改變方向、或要對外代表時，不確定誰有權責拍板（%≥3）,20.0%,1,5,1/5,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=接收資訊,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,接收資訊／找不到對接的政府窗口、發訊息沒人理（%≥3）,20.0%,1,5,1/5,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=接收資訊,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,接收資訊／公務員不信任你、不願給你需要的資訊（%≥3）,20.0%,1,5,1/5,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=接收資訊,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,接收資訊／想要的資料拿不到、不知道去哪要（%≥3）,0.0%,0,5,0/5,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=接收資訊,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,接收資訊／做出來的成果（工具、服務）很難真正發揮影響力（%≥3）,20.0%,1,5,1/5,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=接收資訊,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,主動通報／抓不準專案到底要解決什麼問題（%≥3）,16.7%,1,6,1/6,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=主動通報,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,主動通報／找不到願意一起做的夥伴（%≥3）,16.7%,1,6,1/6,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=主動通報,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,主動通報／新手或不會寫程式的人，不知道能幫什麼（%≥3）,33.3%,2,6,2/6,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=主動通報,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,主動通報／參與者突然消失，留下大量未完成任務（%≥3）,16.7%,1,6,1/6,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=主動通報,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,主動通報／專案缺少文件或交接，人一走、知識就斷了（%≥3）,0.0%,0,6,0/6,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=主動通報,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,主動通報／核心成員累垮，常常一個人撐住整個專案（%≥3）,0.0%,0,6,0/6,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=主動通報,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,主動通報／專案難有穩定進度，容易停滯（%≥3）,33.3%,2,6,2/6,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=主動通報,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,主動通報／拿到經費或補助後，不知道怎麼管帳、報稅或處理聘僱（%≥3）,0.0%,0,6,0/6,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=主動通報,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,主動通報／專案要改變方向、或要對外代表時，不確定誰有權責拍板（%≥3）,0.0%,0,6,0/6,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=主動通報,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,主動通報／找不到對接的政府窗口、發訊息沒人理（%≥3）,16.7%,1,6,1/6,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=主動通報,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,主動通報／公務員不信任你、不願給你需要的資訊（%≥3）,16.7%,1,6,1/6,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=主動通報,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,主動通報／想要的資料拿不到、不知道去哪要（%≥3）,0.0%,0,6,0/6,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=主動通報,L1（僅供參考）
第 3 章,§4.2 困擾×參與深度5級,主動通報／做出來的成果（工具、服務）很難真正發揮影響力（%≥3）,33.3%,2,6,2/6,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=主動通報,L1（僅供參考）
第 4 章,§5.1 動機組合是否改變,動機組合完全相同,59.6%,28,47,28/47,你第一次投入公民科技專案時的契機是？ × 那現在讓你留下來繼續做的，又是什麼？,曾參與 N=47 逐人配對比較,L2
第 4 章,§5.1 動機組合是否改變,動機組合有變動,40.4%,19,47,19/47,你第一次投入公民科技專案時的契機是？ × 那現在讓你留下來繼續做的，又是什麼？,曾參與 N=47 逐人配對比較,L2
第 5 章,§6.1 資源（全體曾參與者）,人脈（例如：由社群介紹可諮詢的專家）,66.0%,31,47,31/47,這個專案從開始到現在，曾使用過哪些資源？,曾參與 N=47，複選,L2
第 5 章,§6.1 資源（全體曾參與者）,經費（例如：獎助金、標案或機構支持費用）,46.8%,22,47,22/47,這個專案從開始到現在，曾使用過哪些資源？,曾參與 N=47，複選,L2
第 5 章,§6.1 資源（全體曾參與者）,公開資料或開放資料（例如：政治獻金資料集）,44.7%,21,47,21/47,這個專案從開始到現在，曾使用過哪些資源？,曾參與 N=47，複選,L2
第 5 章,§6.1 資源（全體曾參與者）,場地（例如：NPO Hub）,40.4%,19,47,19/47,這個專案從開始到現在，曾使用過哪些資源？,曾參與 N=47，複選,L2
第 5 章,§6.1 資源（全體曾參與者）,現成的數位工具或平台（例如：Pol.is）,36.2%,17,47,17/47,這個專案從開始到現在，曾使用過哪些資源？,曾參與 N=47，複選,L2
第 5 章,§6.1 資源（全體曾參與者）,政府窗口（例如：協助將專案成果結合到體制內）,34.0%,16,47,16/47,這個專案從開始到現在，曾使用過哪些資源？,曾參與 N=47，複選,L2
第 5 章,§6.1 資源（全體曾參與者）,主要靠我自己想辦法,23.4%,11,47,11/47,這個專案從開始到現在，曾使用過哪些資源？,曾參與 N=47，複選,L2
第 5 章,§6.1 資源（全體曾參與者）,其他（自由填答）,2.1%,1,47,1/47,這個專案從開始到現在，曾使用過哪些資源？,曾參與 N=47，複選,L2
第 5.1 節,§6.1 專長（全體曾參與者）,議題研究,51.1%,24,47,24/47,在這個專案裡，你主要的專長、或協助的任務是？,曾參與 N=47，複選；問的是在該專案負責什麼，不是會什麼,L2
第 5.1 節,§6.1 專長（全體曾參與者）,專案管理,51.1%,24,47,24/47,在這個專案裡，你主要的專長、或協助的任務是？,曾參與 N=47，複選；問的是在該專案負責什麼，不是會什麼,L2
第 5.1 節,§6.1 專長（全體曾參與者）,行銷推廣,44.7%,21,47,21/47,在這個專案裡，你主要的專長、或協助的任務是？,曾參與 N=47，複選；問的是在該專案負責什麼，不是會什麼,L2
第 5.1 節,§6.1 專長（全體曾參與者）,行政、後勤,40.4%,19,47,19/47,在這個專案裡，你主要的專長、或協助的任務是？,曾參與 N=47，複選；問的是在該專案負責什麼，不是會什麼,L2
第 5.1 節,§6.1 專長（全體曾參與者）,文案撰寫,38.3%,18,47,18/47,在這個專案裡，你主要的專長、或協助的任務是？,曾參與 N=47，複選；問的是在該專案負責什麼，不是會什麼,L2
第 5.1 節,§6.1 專長（全體曾參與者）,寫程式,27.7%,13,47,13/47,在這個專案裡，你主要的專長、或協助的任務是？,曾參與 N=47，複選；問的是在該專案負責什麼，不是會什麼,L2
第 5.1 節,§6.1 專長（全體曾參與者）,活絡氣氛與關係維繫（舉例：讓夥伴彼此熟識、張羅食物，維持協作順暢）,23.4%,11,47,11/47,在這個專案裡，你主要的專長、或協助的任務是？,曾參與 N=47，複選；問的是在該專案負責什麼，不是會什麼,L2
第 5.1 節,§6.1 專長（全體曾參與者）,體驗設計（UI／UX）,17.0%,8,47,8/47,在這個專案裡，你主要的專長、或協助的任務是？,曾參與 N=47，複選；問的是在該專案負責什麼，不是會什麼,L2
第 5.1 節,§6.1 專長（全體曾參與者）,視覺設計,14.9%,7,47,7/47,在這個專案裡，你主要的專長、或協助的任務是？,曾參與 N=47，複選；問的是在該專案負責什麼，不是會什麼,L2
第 5.1 節,§6.1 專長（全體曾參與者）,其他（自由填答）,6.4%,3,47,3/47,在這個專案裡，你主要的專長、或協助的任務是？,曾參與 N=47，複選；問的是在該專案負責什麼，不是會什麼,L2
第 7 章,§9.1 管道：官方 vs 親友,全體／至少用到一個官方管道,65.4%,83,127,83/127,你現在主要透過哪些管道，得知 g0v 的活動消息？,全體；以人去重,L2
第 7 章,§9.1 管道：官方 vs 親友,全體／有靠親友推薦,40.2%,51,127,51/127,你現在主要透過哪些管道，得知 g0v 的活動消息？,全體；以人去重,L2
第 7 章,§9.1 管道：官方 vs 親友,全體／只有官方管道,48.0%,61,127,61/127,你現在主要透過哪些管道，得知 g0v 的活動消息？,全體；以人去重；互斥四分組相加＝分母,L2
第 7 章,§9.1 管道：官方 vs 親友,全體／官方與親友都有,17.3%,22,127,22/127,你現在主要透過哪些管道，得知 g0v 的活動消息？,全體；以人去重；互斥四分組相加＝分母,L2
第 7 章,§9.1 管道：官方 vs 親友,全體／只靠親友推薦，沒有任何官方管道,22.8%,29,127,29/127,你現在主要透過哪些管道，得知 g0v 的活動消息？,全體；以人去重；互斥四分組相加＝分母,L2
第 7 章,§9.1 管道：官方 vs 親友,全體／兩者都沒有,11.8%,15,127,15/127,你現在主要透過哪些管道，得知 g0v 的活動消息？,全體；以人去重；互斥四分組相加＝分母,L2
